Store,Date,Weekly_Sales,Temperature,Fuel_Price
1,05-02-2010,1643690.9,42.31,2.572
1,12-02-2010,1641957.44,38.51,2.548
1,19-02-2010,1611968.17,39.93,2.514
1,26-02-2010,1409727.59,46.63,2.561
1,05-03-2010,1554806.68,46.5,2.625
1,12-03-2010,1439541.59,57.79,2.667
1,19-03-2010,1472515.79,54.58,2.72
1,26-03-2010,1404429.92,51.45,2.732
1,02-04-2010,1594968.28,62.27,2.719
1,09-04-2010,1545418.53,65.86,2.77
1,16-04-2010,1466058.28,66.32,2.808
1,23-04-2010,1391256.12,64.84,2.795
1,30-04-2010,1425100.71,67.41,2.78
1,07-05-2010,1603955.12,72.55,2.835
1,14-05-2010,1494251.5,74.78,2.854
1,21-05-2010,1399662.07,76.44,2.826
1,28-05-2010,1432069.95,80.44,2.759
1,04-06-2010,1615524.71,80.69,2.705
1,11-06-2010,1542561.09,80.43,2.668
1,18-06-2010,1503284.06,84.11,2.637
1,25-06-2010,1422711.6,84.34,2.653
1,02-07-2010,1492418.14,80.91,2.669
1,09-07-2010,1546074.18,80.48,2.642
1,16-07-2010,1448938.92,83.15,2.623
1,23-07-2010,1385065.2,83.36,2.608
1,30-07-2010,1371986.6,81.84,2.64
1,06-08-2010,1605491.78,87.16,2.627
1,13-08-2010,1508237.76,87.0,2.692
1,20-08-2010,1513080.49,86.65,2.664
1,27-08-2010,1449142.92,85.22,2.619
1,03-09-2010,1540163.53,81.21,2.577
1,10-09-2010,1507460.69,78.69,2.565
1,17-09-2010,1430378.67,82.11,2.582
1,24-09-2010,1351791.03,80.94,2.624
1,01-10-2010,1453329.5,71.89,2.603
1,08-10-2010,1508239.93,63.93,2.633
1,15-10-2010,1459409.1,67.18,2.72
1,22-10-2010,1345454.0,69.86,2.725
1,29-10-2010,1384209.22,69.64,2.716
1,05-11-2010,1551659.28,58.74,2.689
1,12-11-2010,1494479.49,59.61,2.728
1,19-11-2010,1483784.18,51.41,2.771
1,26-11-2010,1955624.11,64.52,2.735
1,03-12-2010,1548033.78,49.27,2.708
1,10-12-2010,1682614.26,46.33,2.843
1,17-12-2010,1891034.93,49.84,2.869
1,24-12-2010,2387950.2,52.33,2.886
1,31-12-2010,1367320.01,48.43,2.943
1,07-01-2011,1444732.28,48.27,2.976
1,14-01-2011,1391013.96,35.4,2.983
1,21-01-2011,1327405.42,44.04,3.016
1,28-01-2011,1316899.31,43.83,3.01
1,04-02-2011,1606629.58,42.27,2.989
1,11-02-2011,1649614.93,36.39,3.022
1,18-02-2011,1686842.78,57.36,3.045
1,25-02-2011,1456800.28,62.9,3.065
1,04-03-2011,1636263.41,59.58,3.288
1,11-03-2011,1553191.63,53.56,3.459
1,18-03-2011,1576818.06,62.76,3.488
1,25-03-2011,1541102.38,69.97,3.473
1,01-04-2011,1495064.75,59.17,3.524
1,08-04-2011,1614259.35,67.84,3.622
1,15-04-2011,1559889.0,71.27,3.743
1,22-04-2011,1564819.81,72.99,3.807
1,29-04-2011,1455090.69,72.03,3.81
1,06-05-2011,1629391.28,64.61,3.906
1,13-05-2011,1604775.58,75.64,3.899
1,20-05-2011,1428218.27,67.63,3.907
1,27-05-2011,1466046.67,77.72,3.786
1,03-06-2011,1635078.41,83.0,3.699
1,10-06-2011,1588948.32,83.13,3.648
1,17-06-2011,1532114.86,86.41,3.637
1,24-06-2011,1438830.15,83.58,3.594
1,01-07-2011,1488538.09,85.55,3.524
1,08-07-2011,1534849.64,85.83,3.48
1,15-07-2011,1455119.97,88.54,3.575
1,22-07-2011,1396926.82,85.77,3.651
1,29-07-2011,1352219.79,86.83,3.682
1,05-08-2011,1624383.75,91.65,3.684
1,12-08-2011,1525147.09,90.76,3.638
1,19-08-2011,1530761.43,89.94,3.554
1,26-08-2011,1464693.46,87.96,3.523
1,02-09-2011,1550229.22,87.83,3.533
1,09-09-2011,1540471.24,76.0,3.546
1,16-09-2011,1514259.78,79.94,3.526
1,23-09-2011,1380020.27,75.8,3.467
1,30-09-2011,1394561.83,79.69,3.355
1,07-10-2011,1630989.95,69.31,3.285
1,14-10-2011,1493525.93,71.74,3.274
1,21-10-2011,1502562.78,63.71,3.353
1,28-10-2011,1445249.09,66.57,3.372
1,04-11-2011,1697229.58,54.98,3.332
1,11-11-2011,1594938.89,59.11,3.297
1,18-11-2011,1539483.7,62.25,3.308
1,25-11-2011,2033320.66,60.14,3.236
1,02-12-2011,1584083.95,48.91,3.172
1,09-12-2011,1799682.38,43.93,3.158
1,16-12-2011,1881176.67,51.63,3.159
1,23-12-2011,2270188.99,47.96,3.112
1,30-12-2011,1497462.72,44.55,3.129
1,06-01-2012,1550369.92,49.01,3.157
1,13-01-2012,1459601.17,48.53,3.261
1,20-01-2012,1394393.84,54.11,3.268
1,27-01-2012,1319325.59,54.26,3.29
1,03-02-2012,1636339.65,56.55,3.36
1,10-02-2012,1802477.43,48.02,3.409
1,17-02-2012,1819870.0,45.32,3.51
1,24-02-2012,1539387.83,57.25,3.555
1,02-03-2012,1688420.76,60.96,3.63
1,09-03-2012,1675431.16,58.76,3.669
1,16-03-2012,1677472.78,64.74,3.734
1,23-03-2012,1511068.07,65.93,3.787
1,30-03-2012,1649604.63,67.61,3.845
1,06-04-2012,1899676.88,70.43,3.891
1,13-04-2012,1621031.7,69.07,3.891
1,20-04-2012,1521577.87,66.76,3.877
1,27-04-2012,1468928.37,67.23,3.814
1,04-05-2012,1684519.99,75.55,3.749
1,11-05-2012,1611096.05,73.77,3.688
1,18-05-2012,1595901.87,70.33,3.63
1,25-05-2012,1555444.55,77.22,3.561
1,01-06-2012,1624477.58,77.95,3.501
